Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
8/19/12,Sun,La Liga,Matchweek 1,Home,W 5–1,Barcelona,Real Sociedad,Y,,90,2,,0,,,,0,0,,,,,,,0,,,Match Report
8/26/12,Sun,La Liga,Matchweek 2,Away,W 2–1,Barcelona,Osasuna,Y,,90,2,,0,,,,0,0,,,,,,,0,,,Match Report
9/2/12,Sun,La Liga,Matchweek 3,Home,W 1–0,Barcelona,Valencia,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
9/7/12,Fri,WCQ,WCQ — CONMEBOL (M),Home,W 3–1,ar Argentina,py Paraguay,Y*,,90,1,0,0,0,,,0,0,,,,,,,0,,,Match Report
9/11/12,Tue,WCQ,WCQ — CONMEBOL (M),Away,D 1–1,ar Argentina,pe Peru,Y*,,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
9/15/12,Sat,La Liga,Matchweek 4,Away,W 4–1,Barcelona,Getafe,N,,33,2,,1,,,,0,0,,,,,,,0,,,Match Report
9/19/12,Wed,Champions Lg,Group stage,Home,W 3–2,es Barcelona,ru Spartak Moscow,Y,,90,2,,0,,,,0,0,,,,,,,0,,,Match Report
9/22/12,Sat,La Liga,Matchweek 5,Home,W 2–0,Barcelona,Granada,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
9/29/12,Sat,La Liga,Matchweek 6,Away,W 3–2,Barcelona,Sevilla,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
10/2/12,Tue,Champions Lg,Group stage,Away,W 2–0,es Barcelona,pt Benfica,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
10/7/12,Sun,La Liga,Matchweek 7,Home,D 2–2,Barcelona,Real Madrid,Y,,90,2,,0,,,,0,0,,,,,,,0,,,Match Report
10/12/12,Fri,WCQ,WCQ — CONMEBOL (M),Home,W 3–0,ar Argentina,uy Uruguay,Y*,,90,2,0,0,0,,,0,0,,,,,,,0,,,Match Report
10/16/12,Tue,WCQ,WCQ — CONMEBOL (M),Away,W 2–1,ar Argentina,cl Chile,Y*,,90,1,0,0,0,,,0,0,,,,,,,0,,,Match Report
10/20/12,Sat,La Liga,Matchweek 8,Away,W 5–4,Barcelona,La Coruña,Y,,90,3,,0,,,,1,0,,,,,,,0,,,Match Report
10/23/12,Tue,Champions Lg,Group stage,Home,W 2–1,es Barcelona,sct Celtic,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
10/27/12,Sat,La Liga,Matchweek 9,Away,W 5–0,Barcelona,Rayo Vallecano,Y,,90,2,,0,,,,0,0,,,,,,,0,,,Match Report
