,,,,,,,,,,,Performance,,,,,,,,,,,,,,,,,
Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
8/29/11,Mon,La Liga,Matchweek 2,Home,W 5–0,Barcelona,Villarreal,Y,,90,2,,0,,,,0,0,,,,,,,0,,,Match Report
9/10/11,Sat,La Liga,Matchweek 3,Away,D 2–2,Barcelona,Real Sociedad,N,,30,0,,0,,,,1,0,,,,,,,0,,,Match Report
9/13/11,Tue,Champions Lg,Group stage,Home,D 2–2,es Barcelona,it Milan,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
9/17/11,Sat,La Liga,Matchweek 4,Home,W 8–0,Barcelona,Osasuna,Y,,90,3,,0,,,,0,0,,,,,,,0,,,Match Report
9/21/11,Wed,La Liga,Matchweek 5,Away,D 2–2,Barcelona,Valencia,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
9/24/11,Sat,La Liga,Matchweek 6,Home,W 5–0,Barcelona,Atlético Madrid,Y,,90,3,,0,,,,0,0,,,,,,,0,,,Match Report
9/28/11,Wed,Champions Lg,Group stage,Away,W 5–0,es Barcelona,by BATE Borisov,Y,,90,2,,0,,,,0,0,,,,,,,0,,,Match Report
10/2/11,Sun,La Liga,Matchweek 7,Away,W 1–0,Barcelona,Sporting Gijón,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
10/7/11,Fri,WCQ,WCQ — CONMEBOL (M),Home,W 4–1,ar Argentina,cl Chile,Y,,90,1,0,0,0,,,0,0,,,,,,,0,,,Match Report
10/11/11,Tue,WCQ,WCQ — CONMEBOL (M),Away,L 0–1,ar Argentina,ve Venezuela,Y*,,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
10/15/11,Sat,La Liga,Matchweek 8,Home,W 3–0,Barcelona,Racing Sant,Y,,90,2,,0,,,,0,0,,,,,,,0,,,Match Report
10/19/11,Wed,Champions Lg,Group stage,Home,W 2–0,es Barcelona,cz Viktoria Plzeň,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
10/22/11,Sat,La Liga,Matchweek 9,Home,D 0–0,Barcelona,Sevilla,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
10/25/11,Tue,La Liga,Matchweek 10,Away,W 1–0,Barcelona,Granada,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
10/29/11,Sat,La Liga,Matchweek 11,Home,W 5–0,Barcelona,Mallorca,Y,,90,3,,1,,,,0,0,,,,,,,0,,,Match Report
11/1/11,Tue,Champions Lg,Group stage,Away,W 4–0,es Barcelona,cz Viktoria Plzeň,Y,,90,3,,1,,,,0,0,,,,,,,0,,,Match Report
11/6/11,Sun,La Liga,Matchweek 12,Away,D 2–2,Barcelona,Athletic Club,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Match Report
11/11/11,Fri,WCQ,WCQ — CONMEBOL (M),Home,D 1–1,ar Argentina,bo Bolivia,Y*,,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
11/15/11,Tue,WCQ,WCQ — CONMEBOL (M),Away,W 2–1,ar Argentina,co Colombia,Y*,,90,1,0,0,0,,,0,0,,,,,,,0,,,Match Report
11/19/11,Sat,La Liga,Matchweek 13,Home,W 4–0,Barcelona,Zaragoza,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Match Report
11/23/11,Wed,Champions Lg,Group stage,Away,W 3–2,es Barcelona,it Milan,Y,,90,1,,1,,,,1,0,,,,,,,0,,,Match Report
11/26/11,Sat,La Liga,Matchweek 14,Away,L 0–1,Barcelona,Getafe,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
11/29/11,Tue,La Liga,Matchweek 17,Home,W 4–0,Barcelona,Rayo Vallecano,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Match Report
